Functional Location,Description,SAP Functional Location,Status,Vertical,Subvertical,Location Category,Voltage Level,Business Area,Maint. Work Center,Station/Area
KALS/KVT/G00001,PMU KOTA SETAR - PPU PENDANG,KALS/KVT/G00001,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALS33OH,KALS
KALS/KVT/G00002,PPU BKT. RAYA - PPU PENDANG,KALS/KVT/G00002,OPERATING,MCMS,33KV,NULL,NULL,6240,KALS33OH,KALS
KALS/KVT/G00003,PMU K/SETAR - TOWER KSPTG 18,KALS/KVT/G00003,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALS33OH,KALS
KALS/KVT/G00004,PPU MERGONG BARRAGE - TEE OFF TOWER KSPTG,KALS/KVT/G00004,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALS33OH,KALS
KALS/KVT/G00005,TIANG ASK 29 - TEE OFF PPU A/STAR,KALS/KVT/G00005,OPERATING,MCMS,33KV,NULL,NULL,6240,KALS33OH,KALS
KALS/KVT/G00006,PMU GIS - PPU JERLUN,KALS/KVT/G00006,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALS33OH,KALS
KALS/KVT/G00007,TOWER KSPTG 18 - ASK KB 27,KALS/KVT/G00007,OPERATING,MCMS,33KV,NULL,NULL,6240,KALS33OH,KALS
KALS/KVT/G00008,PMU GIS - PPU KEPALA BATAS,KALS/KVT/G00008,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALS33OH,KALS
KALS/KVT/G00009,PMU K.SETAR - PMU TAMAN NURI,KALS/KVT/G00009,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00010,PMU K.SETAR - SSU SIME TYRE,KALS/KVT/G00010,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00011,SSU SIME TYRE - PPU M.BARRAGE,KALS/KVT/G00011,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00012,PMU A.SETAR GIS - PPU M.INDUSTRI,KALS/KVT/G00012,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00013,PMU A.SETAR GIS - PPU M.BARRAGE,KALS/KVT/G00013,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00014,PMU A.SETAR GIS - PPU WISMA TNB NO.1,KALS/KVT/G00014,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00015,PMU A.SETAR GIS - PPU WISMA TNB NO.2,KALS/KVT/G00015,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00016,PMU GIS - PPU TMN NURI - DEL,KALS/KVT/G00016,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALS33OH,KALS
KALS/KVT/G00017,PPU TMN NURI - PPU HOSPITAL BARU - DEL,KALS/KVT/G00017,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00018,PMU A.SETAR GIS - PPU AL BUKHARY,KALS/KVT/G00018,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00019,PPU AL BUKHARY - PPU TAMAN NURI,KALS/KVT/G00019,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00020,PMU MERGONG - PPU MUADZAM NO.1,KALS/KVT/G00020,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00021,PMU MERGONG - PPU MUADZAM NO.2,KALS/KVT/G00021,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00022,PPU MUADZAM SHAH - PPU KEPALA BATAS,KALS/KVT/G00022,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00023,PMU MERGONG - PPU M.BARRAGE,KALS/KVT/G00023,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00024,PMU A.SETAR GIS - PMU MERGONG NO.1,KALS/KVT/G00024,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00025,PMU A.SETAR GIS - PMU MERGONG NO.2,KALS/KVT/G00025,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00026,PMU HOSPITAL BARU - PPU KEPALA BATAS,KALS/KVT/G00026,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00027,PMU MERGONG - TIANG ASSJ 25,KALS/KVT/G00027,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00028,PMU MERGONG - PPU M.INDUSTRI,KALS/KVT/G00028,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00029,PMU A.SETAR GIS - PPU AMAN CENTRAL NO.1,KALS/KVT/G00029,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00030,PMU A.SETAR GIS - PPU AMAN CENTRAL NO.2,KALS/KVT/G00030,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00031,PPU HOSPITAL BARU - PPU JABI,KALS/KVT/G00031,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00032,PMU A.SETAR GIS - PPU HOSPITAL,KALS/KVT/G00032,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00033,PPU JABI - PPU KG LANJUT,KALS/KVT/G00033,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
KALS/KVT/G00034,PMU KOTA SETAR - MINI PPU TAMAN BERSATU,KALS/KVT/G00034,OPERATING,MCMS,33KV,SUBSTATION CODE,NULL,6240,KALSHLUG,KALS
