Id,Circ_id,Status,Phasing,Voltage,Class,Owner_Type,Owner_Name,From_Info,To_Info,Label,Op_Area,SubstationLabel,FromToName,FromLabel,ToLabel
40797527,2ATE_3S5,Existing,RYB,33,Class D,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,NIBONG TEBAL,2ATE,-,,
117746031,2ATE_4S5,Existing,RYB,33,Class C,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,NIBONG TEBAL,2ATE,-,,
42403472,2ATE_5S5,Existing,RYB,33,Class C,TNB,DISTRIBUTION,2ATE: 5S5,PSPK: 6P5,630_1C_AL_XLPE,NIBONG TEBAL,2ATE,2ATE:5S5-PSPK:6P5,2ATE,PSPK
122473524,2ATE_Sub,Existing,RYB,33,Class D,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,NIBONG TEBAL,2ATE,-,,
40772741,ACHM_2L5,Existing,RYB,33,Class D,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,SEBERANG JAYA,ACHM,-,,
81352444,ADTH_4L5,Existing,RYB,33,Class C,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,KULIM,ADTH,-,,
174177528,AEON33_3S5,Existing,RYB,33,Class D,TNB,DISTRIBUTION,AEON33: 3S5,,630_1C_AL_XLPE,SEBERANG JAYA,AEON33,AEON33:3S5-,AEON33,
190451782,AEON33_4S5,Existing,RYB,33,Class D,TNB,DISTRIBUTION,AEON33: 4S5,,630_1C_AL_XLPE,SEBERANG JAYA,AEON33,AEON33:4S5-,AEON33,
40757873,AEON33_4S5,Existing,RYB,33,Class D,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,SEBERANG JAYA,AEON33,-,,
121571938,AEON33_Sub,Existing,RYB,33,Class D,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,SEBERANG JAYA,AEON33,-,,
40134264,AGLN_1L5,Existing,RYB,33,Class D,TNB,DISTRIBUTION,,,630_1C_AL_XLPE,PULAU PINANG,AGLN,-,,
40125882,AGLN_2L5,Existing,RYB,33,Class D,TNB,DISTRIBUTION,AGLN: 2L5,AVGO: 4L5,630_1C_AL_XLPE,PULAU PINANG,AGLN,AGLN:2L5-AVGO:4L5,AGLN,AVGO
41242114,AJYA_1L5,Existing,RYB,33,Class C,TNB,DISTRIBUTION,AJYA: 1L5,SGLL: 2L5 [OFF],630_1C_AL_XLPE,SUNGAI PETANI,AJYA,AJYA:1L5-SGLL:2L5[OFF],AJYA,SGLL
42381540,AJYA_2L5,Existing,RYB,33,Class C,TNB,DISTRIBUTION,AJYA: 2L5,SGLL: 1L5 [OFF],630_1C_AL_XLPE,SUNGAI PETANI,AJYA,AJYA:2L5-SGLL:1L5[OFF],AJYA,SGLL
42382331,AJYA_3L5,Existing,RYB,33,Class C,TNB,DISTRIBUTION,AJYA: 3L5,AMJA: 1L5 [OFF],630_1C_AL_XLPE,SUNGAI PETANI,AJYA,AJYA:3L5-AMJA:1L5[OFF],AJYA,AMJA
42382338,AJYA_4L5,Existing,RYB,33,Class C,TNB,DISTRIBUTION,AJYA: 4L5,AMJA: 2L5,630_1C_AL_XLPE,SUNGAI PETANI,AJYA,AJYA:4L5-AMJA:2L5,AJYA,AMJA
