Id,Status,Name,Owner_Type,Owner_Name,Design,Voltage,Label,FL,Op_Area,Category,Status_act,Latitude,Longitude
101991104,Existing,SSU SUSTIO 33KV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,SUST,PNTL/SSU/G00014,NIBONG TEBAL,SSU,Update,5.215880472,100.4313036
101991636,Existing,SSU DEXCOM 33KV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,DEXC,PNTL/SSU/G00013,NIBONG TEBAL,SSU,Insert,5.229270642,100.4397773
102008659,Existing,SSU SUNWAY CARNIVAL 33KV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,SUCA,PBUT/SSU/G00027,SEBERANG JAYA,SSU,Insert,5.400584998,100.398283
105636773,Existing,D-PZK-S20-0585,TNB,DISTRIBUTION,PPU Mini,,ECON,KBLG/PPU/G00004,BALING,PPU,Insert,5.656777838,100.8698009
105706481,Existing,,TNB,DISTRIBUTION,PMU 132/33kV (DOUBLE BUS),,BKHM33,,JITRA,PMU,Update,6.480072418,100.4158219
108208800,Existing,PMU KUALA KETIL 132/33kV,TNB,DISTRIBUTION,PMU 132/33kV (DOUBLE BUS),132/33/11,KKTL33,KKLM/PMU/G00001,KULIM,PMU,Insert,5.591510466,100.6359508
108282075,Existing,PMU SPID 132/33/11KV,TNB,DISTRIBUTION,PMU 132/33kV (DOUBLE BUS),132/33/11,SPID33,KSGP/PMU/G00004,SUNGAI PETANI,PMU,Insert,5.660164969,100.534473
108285122,Existing,PMU TMN INTAN 132/33/11KV,TNB,DISTRIBUTION,PMU 132/11 kV,132/33 kV,INTN211,KSGP/PMU/G00008,SUNGAI PETANI,PMU,Update,5.636256948,100.477044
109242401,Existing,PMU ULU MELAKA,TNB,DISTRIBUTION,PPU 33/11kV,132/33 & 132/11,UMKA33,KLGK/PMU/G00002,LANGKAWI,PMU,Update,6.367402825,99.77887264
109549773,Existing,,TNB,DISTRIBUTION,PMU 132/11 kV,,UMKA11,,LANGKAWI,PMU,Update,6.367452229,99.77898778
112610500,Existing,SSU ZXT RUIFENG,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,,RFNG,KGCM/SSU/G00004,GUAR CHEMPEDAK,SSU,Insert,5.824312059,100.5088327
114692740,Existing,SSU JABIL CIRCUIT NO.2 33kV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,JBIL2,PNTL/SSU/G00011,NIBONG TEBAL,SSU,Insert,5.215261177,100.4343607
115963764,Existing,SSU TUDM 33KV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,PTUDM,PBUT/SSU/G00008,SEBERANG JAYA,SSU,Insert,5.462206015,100.3831239
130559367,Existing,SSU ROBERT BOSCH SEMICONDUCTOR PENANG (M,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,,ROBO,PNTL/SSU/G00015,NIBONG TEBAL,SSU,Update,5.224731233,100.4363314
130752300,Existing,SSU XSD PAPER,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,,XSDP,KKLM/SSU/G00004,KULIM,SSU,Update,5.492280182,100.6103772
131758714,Existing,,TNB,DISTRIBUTION,PPU 33/11kV (Cable Tie),,KPSRI,,KULIM,PPU,Insert,5.515320333,100.5411169
160639260,Existing,SSU VAT MANUFACTURING MALAYSIA 33kV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,VATBK,PNTL/SSU/G00018,NIBONG TEBAL,SSU,Update,5.216905856,100.42932
164739310,Existing,PPU TAMAN SELASIH,TNB,DISTRIBUTION,PPU 33/11kV (SINGLE BUS),33/11 kV,TSIH,KKLM/PPU/G00004,KULIM,PPU,Update,5.375555558,100.5393611
201294132,Existing,SSU VENTURE ELECTRONIC 33KV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,VENT,PNTL/SSU/G00019,NIBONG TEBAL,SSU,Insert,5.218476299,100.4405451
201367130,Existing,SSU TTM PENANG SCIENCE PARK 33KV,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,33 kV,TTMT,PNTL/SSU/G00016,SEBERANG JAYA,SSU,Insert,5.304327303,100.4375871
203458308,Existing,SSU TF AMD MICROELECTRONICS (PENANG) SDN,TNB,DISTRIBUTION,SSU SINGLE BUS + BUS SECTION 33 kV,,AMD3,PNTL/SSU/G00017,NIBONG TEBAL,SSU,Insert,5.220957004,100.428216
206074152,Existing,PPU SIK,TNB,DISTRIBUTION,PPU 33/11kV (Cable Tie),33/11 kV,SIK,KSIK/PPU/G00001,SIK,PPU,Insert,5.836589772,100.7489758
215616219,Existing,PPU TENGKU KUDIN 33/11KV,TNB,DISTRIBUTION,PPU 33/11kV (SINGLE BUS),33/11 kV,TKDN,PPPG/PPU/G00014,PULAU PINANG,PPU,Insert,5.380318241,100.3136861
288964730,Existing,PPU PRIMA PENGKALAN KUNDOR,TNB,DISTRIBUTION,PPU 33/11kV (Cable Tie),33/11 kV,PRMA,KALS/PPU/G00018,ALOR SETAR,PPU,Insert,6.040547789,100.3780426
290859189,Existing,,TNB,DISTRIBUTION,GIS PMU 132/33kV (SINGLE BUS),,KERC,,KUALA NERANG,PMU,Insert,6.348779401,100.6451537
291073084,Existing,PPU JALAN SONG BAN KHENG 33/11KV,TNB,DISTRIBUTION,PPU 33/11kV (Cable Tie),33/11 kV,JSBK,PBUT/PPU/G00036,SEBERANG JAYA,PPU,Insert,5.349891016,100.4568044
